"","gvkey","conm","tic","cusip","cik","sic","naics","gsubind","gind","year1","year2"
"1","001004","AAR CORP","AIR","000361105","0000001750","5080","423860","20101010","201010",1965,2020
"2","001013","ADC TELECOMMUNICATIONS INC","ADCT.1","000886309","0000061478","3661","334210","45201020","452010",1974,2010
"3","001045","AMERICAN AIRLINES GROUP INC","AAL","02376R102","0000006201","4512","481111","20302010","203020",1950,2021
"4","001050","CECO ENVIRONMENTAL CORP","CECE","125141101","0000003197","3564","333413","20201050","202010",1974,2021
"5","001062","ASA GOLD AND PRECIOUS METALS","ASA","G3156P103","0001230869","6799","523999","40203010","402030",1966,2021
"6","001072","AVX CORP","AVX","002444107","0000859163","3670","334416","45203015","452030",1973,2018
"7","001075","PINNACLE WEST CAPITAL CORP","PNW","723484101","0000764622","4911","2211","55101010","551010",1951,2021
"8","001076","PROG HOLDINGS INC","PRG","74319R101","0001808834","6141","522220","40202010","402020",1981,2021
"9","001078","ABBOTT LABORATORIES","ABT","002824100","0000001800","3845","334510","35101010","351010",1950,2021
"10","001082","SERVIDYNE INC","SERV.1","81765M106","0000001923","8700","541310","20201050","202010",1977,2010
"11","001084","WORLDS INC","WDDD","98159J200","0000001961","7370","519130","50203010","502030",1974,2021
"12","001094","ACETO CORP","ACETQ","004446100","0000002034","5160","424690","35102010","351020",1963,2018
"13","001096","MORGUARD CORP","MRCBF","617577101",NA,"6510","5311","60102020","601020",1962,2021
"14","001097","ACMAT CORP  -CL A","ACMTA","004616207","0000002062","6351","524126","40301040","403010",1971,2021
"15","001104","ACME UNITED CORP","ACU","004816104","0000002098","3420","332215","20201060","202010",1968,2021
"16","001117","BK TECHNOLOGIES CORP","BKTI","05587G104","0000002186","3663","334220","45201020","452010",1973,2021
"17","001119","ADAMS DIVERSIFIED EQUITY FD","ADX","006212104","0000002230","6726","525990",NA,NA,1982,2021
"18","001121","ADAMS RESOURCES & ENERGY INC","AE","006351308","0000002178","5172","424720","10102030","101020",1974,2021
"19","001161","ADVANCED MICRO DEVICES","AMD","007903107","0000002488","3674","334413","45301020","453010",1972,2021
"20","001166","ASM INTERNATIONAL NV","ASMIY","N07045102","0000351483","3559","333242","45301010","453010",1981,2021
"21","001173","AEROSONIC CORP","AIM.1","008015307","0000109471","3812","334511","20101010","201010",1973,2012
"22","001177","AETNA INC","AET","00817Y108","0001122304","6324","524114","35102030","351020",1959,2017
"23","001186","AGNICO EAGLE MINES LTD","AEM","008474108","0000002809","1040","212221","15104030","151040",1973,2021
"24","001209","AIR PRODUCTS & CHEMICALS INC","APD","009158106","0000002969","2810","325120","15101040","151010",1950,2021
"25","001210","AIR T INC","AIRT","009207101","0000353184","4513","492110","20301010","203010",1982,2020
"26","001224","SPIRE ALABAMA INC","EGN1","010284008","0000003146","4924","221210","55102010","551020",1982,2021
"27","001225","ALABAMA POWER CO","SO1","010392009","0000003153","4911","2211","55101010","551010",1964,2021
"28","001228","ALANCO TECHNOLOGIES INC","ALAN","011612702","0000098618","4950","221320","55104010","551040",1980,2016
"29","001230","ALASKA AIR GROUP INC","ALK","011659109","0000766421","4512","481111","20302010","203020",1960,2021
"30","001234","ATRION CORP","ATRI","049904105","0000701288","3841","339112","35101020","351010",1962,2021
"31","001239","ALBERTO-CULVER CO","ACV.1","013078100","0001368457","2844","325620","30302010","303020",1956,2010
"32","001254","MATSON INC","MATX","57686G105","0000003453","4400","483113","20303010","203030",1962,2021
"33","001257","ALEXANDER'S INC","ALX","014752109","0000003499","6798","531120","60101070","601010",1968,2021
"34","001259","TAMIR BIOTHECHNOLOGY INC","ACEL.","87509Q105","0000708717","2836","325414","35201010","352010",1984,2012
"35","001262","ALGOMA CENTRAL CORP","AGMJF","015644107",NA,"4400","483113","20303010","203030",1960,2021
"36","001263","ALGOMA STEEL GROUP INC","ASTL","015658107","0001860805","3312","331110","15104050","151040",1960,2013
"37","001266","ALICO INC","ALCO","016230104","0000003545","0100","111310","30202010","302020",1962,2021
"38","001272","PETRO USA INC","PBAJ","71648P103","0000745543","5500","447110","25504050","255040",1978,2021
"39","001274","ALLEGHANY CORP","Y","017175100","0000775368","6331","524126","40301050","403010",1974,2021
"40","001279","ALLEGHENY ENERGY INC","AYE","017361106","0000003673","4911","2211","55101010","551010",1951,2010
"41","001300","HONEYWELL INTERNATIONAL INC","HON","438516106","0000773840","9997","336413","20105010","201050",1950,2021
"42","001308","ALLIS-CHALMERS ENERGY INC","ALY","019645506","0000003982","1381","213111","10101020","101010",1950,2010
"43","001327","SKYWORKS SOLUTIONS INC","SWKS","83088M102","0000004127","3674","334413","45301020","453010",1965,2021
"44","001331","ALPINE GROUP INC","APNI","020825600","0000004164","3357","335929","20104010","201040",1973,2012
"45","001352","ARROW DOW JONES GLBL YLD ETF","GYLD","04273H104",NA,"6722","525910",NA,NA,2012,2021
"46","001356","ALCOA INC","AA.3","013817507",NA,"3720","3364","15104010","151040",1950,2015
"47","001367","AMBER RESOURCES CO OF COLO","3AMBEQ","023184203","0000276750","9995","999990","10102020","101020",1979,2011
"48","001380","HESS CORP","HES","42809H107","0000004447","1311","2111","10102020","101020",1969,2021
"49","001382","US AIRWAYS GROUP INC","LCC","90341W108","0000701345","4512","481111","20302010","203020",1983,2012
"50","001388","AMERICAN AIRLINES INC","AMR1","023771009","0000004515","4512","481111","20302010","203020",1983,2021
"51","001393","AMERCO","UHAL","023586100","0000004457","7510","532120","20304020","203040",1979,2021
"52","001397","AMERICAN BILTRITE INC","ABLT","024591406","0000004611","2670","322220","15101050","151010",1960,2021
"53","001408","BEAM INC","BEAM.2","073730103","0000789073","2085","312140","30201020","302010",1950,2013
"54","001410","ABM INDUSTRIES INC","ABM","000957100","0000771497","7340","561720","20201050","202010",1962,2021
"55","001414","PRIMERICA INC","PRI","74164M108","0001475922","6311","524113","40301020","403010",1950,2021
"56","001417","INVESCO BOND FUND","VBF","46132L107","0000005094","6726","525990",NA,NA,1982,2022
"57","001429","AMERICAN CRYSTAL SUGAR CO","2388B","025303108","0000004828","2060","311313","30202010","302020",1973,2013
"58","001439","US ECOLOGY INC","ECOL","91734M103","0001783400","4955","562211","20201050","202010",1984,2021
"59","001440","AMERICAN ELECTRIC POWER CO","AEP","025537101","0000004904","4911","2211","55101010","551010",1951,2021
"60","001447","AMERICAN EXPRESS CO","AXP","025816109","0000004962","6141","522210","40202010","402020",1960,2021
"61","001448","AMERICAN EXPRESS CREDIT CORP","AXP1","025818006","0000004969","6153","522298","40202010","402020",1974,2020
"62","001449","AFLAC INC","AFL","001055102","0000004977","6321","524114","40301020","403010",1977,2021
"63","001468","AMERICAN GREETINGS  -CL A","AM.1","026375105","0000005133","2771","511191","25201050","252010",1950,2012
"64","001487","AMERICAN INTERNATIONAL GROUP","AIG","026874784","0000005272","6331","524126","40301030","403010",1972,2021
"65","001491","INFINYA LTD","HAIPF","M52514102","0000005337","2621","322121","15103020","151030",1960,2015
"66","001496","AMERICAN LOCKER GROUP INC","ALGI","027284108","0000008855","2540","337215","20201060","202010",1964,2013
"67","001507","VANECK VECTORS EMG MKT HIGH","HYEM","92189F353",NA,"6722","525910",NA,NA,2012,2021
"68","001511","GOLF ROUNDS.COM INC","TEEE.","38168R108",NA,"9995","999990","45101010","451010",1980,2013
"69","001523","AMERICAN MEDICAL ALERT CORP","AMAC","027904101","0000700721","7380","561621","35102015","351020",1981,2010
"70","001526","AMERICAN NATIONAL GROUP INC","ANAT","02772A109","0001801075","6311","524113","40301030","403010",1959,2021
"71","001533","AMERICAN PACIFIC CORP","APFC","028740108","0000350832","2810","325180","15101050","151010",1974,2013
"72","001545","AMERICAN REALTY INVESTORS","ARL","029174109","0001102238","6512","531120","60102020","601020",1974,2021
"73","001554","AMERICAN SCIENCE ENGINEERING","ASEI","029429107","0000005768","3844","334517","20101010","201010",1967,2015
"74","001559","AMERICAN SHARED HSPTL SERV","AMS","029595105","0000744825","8090","621999","35102015","351020",1983,2021
"75","001562","AMERICAN SOFTWARE  -CL A","AMSWA","029683109","0000713425","7372","511210","45103010","451030",1982,2021
"76","001585","AMERICAN VANGUARD CORP","AVD","030371108","0000005981","2870","325320","15101030","151010",1974,2021
"77","001593","AMERON INTERNATIONAL CORP","AMN.2","030710107","0000790730","3270","327390","20102010","201020",1966,2010
"78","001598","AMETEK INC","AME","031100100","0001037868","3823","334513","20104010","201040",1950,2021
"79","001602","AMGEN INC","AMGN","031162100","0000318154","2836","325414","35201010","352010",1982,2021
"80","001611","AMPAL-AMERICAN ISRAEL CORP","AMPLQ","032015703","0000731859","5160","4246","20107010","201070",1976,2011
"81","001613","AMPCO-PITTSBURGH CORP","AP","032037103","0000006176","3460","332111","15104050","151040",1960,2021
"82","001618","AMREP CORP","AXR","032159105","0000006207","6552","237210","60102030","601020",1961,2020
"83","001632","ANALOG DEVICES INC","ADI","032654105","0000006281","3674","334413","45301020","453010",1968,2021
"84","001633","ANALOGIC CORP","ALOG","032657207","0000006284","3845","334510","35101010","351010",1973,2017
"85","001634","ANALYSTS INTERNATIONAL CORP","ANLY","032681207","0000006292","7371","541511","45102010","451020",1974,2012
"86","001635","ANAREN INC","ANEN","032744104","0000006314","3663","334220","45201020","452010",1974,2013
"87","001650","ANDREA ELECTRONICS CORP","ANDR","034393108","0000006494","3663","334220","45203020","452030",1960,2021
"88","001659","ANDERSONS INC","ANDE","034164103","0000821026","5150","424510","30101020","301010",1983,2021
"89","001661","NABORS INDUSTRIES LTD","NBR","G6359F137","0001163739","1381","213111","10101010","101010",1968,2021
"90","001676","MAXUM ENERGY LOGISTICS -REDH","MXLP","57799S939","0001548592","5171","424720","10102030","101020",2010,2011
"91","001678","APA CORP","APA","03743Q108","0001841666","1311","2111","10102020","101020",1960,2021
"92","001681","APOLLO SOLAR ENERGY INC","ASOE","037637105","0000726435","3330","331410","15104020","151040",1983,2014
"93","001682","APCO OIL AND GAS INTL INC","APAGF","G0471F109","0000311471","1311","211111","10102020","101020",1982,2013
"94","001686","APOGEE ENTERPRISES INC","APOG","037598109","0000006845","3442","332321","20102010","201020",1973,2021
"95","001689","APPALACHIAN POWER","AEP1","03799Y005","0000006879","4911","2211","55101010","551010",1964,2021
"96","001690","APPLE INC","AAPL","037833100","0000320193","3663","334220","45202030","452020",1980,2021
"97","001704","APPLIED MATERIALS INC","AMAT","038222105","0000006951","3559","333242","45301010","453010",1972,2021
