"NAME","NAMEHCR","STALP","STNAME","BKCLASS","ASSET","CERT","FED_RSSD","org_name","commented","Commented","mean_ASSET","median_ASSET","mean_ASSET_type","median_ASSET_type"
"The Southington Bank and Trust Company",NA,"CT","Connecticut","NM",48570000,4,573401,"the southington bank and trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Colonial Bank of Waterbury",NA,"CT","Connecticut","NM",624655000,6,148304,"colonial bank of waterbury",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Fleet Bank of Maine",NA,"ME","Maine","SM",1699404000,8,422406,"fleet bank of maine",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Union Trust Company",NA,"ME","Maine","SM",539169000,9,563907,"union trust company",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Northeast Bank of Sanford",NA,"ME","Maine","SM",55692000,10,112109,"northeast bank of sanford",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"State Street Bank and Trust Company","State Street Corporation","MA","Massachusetts","SM",233542890000,14,35301,"state street bank and trust company",TRUE,"Commented",2565978874.81297,145717500,3941421401.72414,218865500
"BayBank Harvard Trust Company",NA,"MA","Massachusetts","NM",1435310000,18,852209,"baybank harvard trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Durfee Attleboro Bank",NA,"MA","Massachusetts","NM",346808000,20,202402,"durfee attleboro bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of New England - North Shore",NA,"MA","Massachusetts","SM",153274000,21,658205,"bank of new england - north shore",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Shawmut Bank of Franklin County",NA,"MA","Massachusetts","NM",159727000,22,661205,"shawmut bank of franklin county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of New England - Hancock",NA,"MA","Massachusetts","NM",414795000,27,889607,"bank of new england - hancock",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Eastern Bank and Trust Company",NA,"MA","Massachusetts","NM",12474000,28,372109,"eastern bank and trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"BayBank Winchester Trust Company",NA,"MA","Massachusetts","NM",23379000,30,633006,"baybank winchester trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Indian Head Bank North",NA,"NH","New Hampshire","NM",204423000,31,146805,"indian head bank north",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"AuburnBank","Auburn National Bancorporation, Inc.","AL","Alabama","SM",843447000,35,749635,"auburnbank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Bank of the South",NA,"AL","Alabama","NM",56420000,36,859637,"bank of the south",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Alabama City Bank of Gadsden, Alabama",NA,"AL","Alabama","NM",61089000,37,629438,"alabama city bank of gadsden, alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Exchange Bank, Attalla, Alabama",NA,"AL","Alabama","NM",63927000,38,672537,"the exchange bank, attalla, alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Robertson Banking Company","Rbc, Inc.","AL","Alabama","NM",278881000,39,430036,"robertson banking company",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"East Gadsden Bank",NA,"AL","Alabama","NM",43800000,40,842282,"east gadsden bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Phenix-Girard Bank","Phenix-Girard Bancshares, Inc.","AL","Alabama","NM",175033000,41,432432,"phenix-girard bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Bank of Arab",NA,"AL","Alabama","NM",32225000,42,33437,"the bank of arab",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Bank of Berry",NA,"AL","Alabama","NM",12825000,43,754031,"the bank of berry",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Jacobs Bank",NA,"AL","Alabama","NM",173273000,45,230731,"jacobs bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Merchants Bank of Alabama","Merchants Financial Services, Inc.","AL","Alabama","NM",278248000,46,113937,"merchants bank of alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Traders & Farmers Bank","Traders & Farmers Bancshares, Inc.","AL","Alabama","NM",380746000,47,390336,"traders & farmers bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Citizens Bank of Georgiana",NA,"AL","Alabama","NM",7741000,48,569338,"the citizens bank of georgiana",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Evergreen",NA,"AL","Alabama","NM",61435000,49,560438,"bank of evergreen",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Community Spirit Bank","Independent Bancshares, Inc. Employee Stock Ownership Plan","AL","Alabama","NM",143583000,50,470032,"community spirit bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Bank of Vernon","First Vernon Bancshares, Inc.","AL","Alabama","NM",143537000,51,382537,"the bank of vernon",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Citizens Bank of Winfield","Citizens Bancorp Of Winfield, Inc.","AL","Alabama","NM",222318000,52,293437,"the citizens bank of winfield",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Peoples Community Bank",NA,"AL","Alabama","NM",160002000,53,190732,"peoples community bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"The Exchange Bank of Alabama","Gadsden Corporation, The","AL","Alabama","NM",285319000,54,672537,"the exchange bank of alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Alabama Bank of Covington County",NA,"AL","Alabama","NM",73792000,55,693082,"first alabama bank of covington county",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"SouthTrust Bank of Central Alabama",NA,"AL","Alabama","NM",131453000,56,318237,"southtrust bank of central alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Community Bank",NA,"AL","Alabama","NM",569546000,57,594134,"community bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"United Bank","United Bancorporation Of Alabama, Inc.","AL","Alabama","NM",572310000,58,994435,"united bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Citizens Bank",NA,"AL","Alabama","NM",172397000,59,447034,"the citizens bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"BankTrust of Brewton",NA,"AL","Alabama","NM",117230000,60,462738,"banktrust of brewton",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Florala",NA,"AL","Alabama","NM",20843000,61,562535,"bank of florala",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Bank of Parrish",NA,"AL","Alabama","NM",21876000,63,521934,"the bank of parrish",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"The Commercial Bank of Roanoke, Alabama",NA,"AL","Alabama","NM",40564000,64,530534,"the commercial bank of roanoke, alabama",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Central Bank of St. Clair County",NA,"AL","Alabama","NM",10626000,65,246536,"central bank of st. clair county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Alabama Bank of Chilton County",NA,"AL","Alabama","NM",20888000,66,254287,"first alabama bank of chilton county",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"SouthTrust Bank of Tuskegee",NA,"AL","Alabama","NM",15864000,67,327136,"southtrust bank of tuskegee",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Peachtree Bank",NA,"AL","Alabama","NM",53934000,68,572338,"peachtree bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Luverne Bank & Trust Company",NA,"AL","Alabama","NM",31534000,69,571836,"luverne bank & trust company",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
