index,CIK,Ticker,Name,Exchange,SIC,Business,Incorporated,IRS
0,1090872,A,Agilent Technologies Inc,NYSE,3825.0,CA,DE,770518772.0
1,4281,AA,Alcoa Inc,NYSE,3350.0,PA,PA,250317820.0
2,1332552,AAACU,Asia Automotive Acquisition Corp,,6770.0,DE,DE,203022522.0
3,1287145,AABB,Asia Broadband Inc,OTC,8200.0,GA,NV,721569126.0
4,1024015,AABC,Access Anytime Bancorp Inc,,6035.0,NM,DE,850444597.0
5,1099290,AAC,Sinocoking Coal & Coke Chemical Industries Inc,NASDAQ,3312.0,F4,FL,593404233.0
6,1264707,AACC,Asset Acceptance Capital Corp,,6153.0,MI,,800076779.0
7,849116,AACE,Ace Cash Express Inc,,6099.0,TX,TX,752142963.0
8,1409430,AAGC,All American Gold Corp,OTC,1040.0,IN,WY,260665571.0
9,948846,AAI,Airtran Holdings Inc,,4512.0,FL,NV,582189551.0
10,1013243,AAIIQ,Aaipharma Inc,OTC,8734.0,NC,DE,42687849.0
11,1303849,AAIR,Avantair Inc,OTC,4522.0,FL,DE,201635240.0
12,6201,AAL,American Airlines Group Inc,NASDAQ,4512.0,TX,DE,751825172.0
13,852015,AAMC,American Asset Management Corp,OTC,6162.0,NJ,NJ,222902677.0
14,1555074,AAMC,Altisource Asset Management Corp,OTC,6500.0,VI,VI,660783125.0
15,8177,AAME,Atlantic American Corp,NASDAQ,6311.0,GA,GA,581027114.0
16,1281629,AAML,Adera Mines LTD,,1040.0,A1,,980427221.0
17,1123648,AAMU,American Ammunition Inc,,3990.0,FL,NV,912021594.0
18,706688,AAN,Aarons Inc,NYSE,7359.0,GA,GA,580687630.0
19,356809,AANB,Abigail Adams National Bancorp Inc,,6021.0,DC,DE,521508198.0
20,933955,AANI,Amedia Networks Inc,,4813.0,NJ,DE,113223672.0
21,1158114,AAOI,Applied Optoelectronics Inc,NASDAQ,3674.0,TX,DE,760533927.0
22,824142,AAON,Aaon Inc,NASDAQ,3585.0,OK,NV,870448736.0
23,1305748,AAOR,Healthcare Providers Direct Inc,,5047.0,A1,NV,201063591.0
24,1158449,AAP,Advance Auto Parts Inc,NYSE,5531.0,VA,DE,542049910.0
25,1040482,AAPH,American Petro-hunter Inc,OTC,1389.0,AZ,NV,980171619.0
26,320193,AAPL,Apple Inc,NASDAQ,3571.0,CA,CA,942404110.0
27,1362502,AAPT,All American Pet Company Inc,OTC,2040.0,CA,NV,912186665.0
28,1424864,AARI,Patriot Minefinders Inc,,1000.0,A1,NV,
29,1411058,AARS,Asia Atlantic Resources,,1000.0,FL,NV,
30,930245,AASP,All American Sportpark Inc,OTC,5900.0,NV,NV,880203976.0
31,703701,AASR,Ushealth Group Inc,,6321.0,TX,DE,731165000.0
32,1500217,AAT,American Assets Trust Inc,NYSE,6798.0,CA,MD,
33,1104042,AATI,Advanced Analogic Technologies Inc,,3674.0,CA,DE,770462930.0
34,1419260,AAUI,Andina Group Inc,OTC,7310.0,UT,NV,201445018.0
35,1077319,AAVG,Avstar Aviation Group Inc,OTC,4581.0,TX,CO,760635938.0
36,1358940,AAXT,Aamaxan Transport Group Inc,OTC,9995.0,A6,DE,870673375.0
37,801558,AB,Cannon Express Inc,NYSE,4213.0,AR,DE,710650141.0
38,825313,AB,Alliancebernstein Holding LP,NYSE,6282.0,NY,DE,133434400.0
39,745651,ABAT,Advanced Battery Technologies Inc,OTC,3690.0,NY,DE,222497491.0
40,881890,ABAX,Abaxis Inc,NASDAQ,3829.0,CA,CA,770213001.0
41,1428802,ABBB,Auburn Bancorp Inc,OTCBB,6035.0,ME,,
42,1292898,ABBC,Abington Community Bancorp Inc,,6036.0,PA,PA,
43,1397533,ABBC,Abington Bancorp Inc,,6036.0,PA,PA,
44,812146,ABBK,Abington Bancorp Inc,,6036.0,MA,MA,43334127.0
45,1551152,ABBV,Abbvie Inc,NYSE,2834.0,IL,DE,320375147.0
46,1140859,ABC,Amerisourcebergen Corp,NYSE,5122.0,PA,DE,233079390.0
47,351569,ABCB,Ameris Bancorp,NASDAQ,6022.0,GA,GA,581456434.0
48,1009624,ABCC,Wherevertv Broadcasting Corp,,7389.0,PA,DE,133886065.0
49,1466815,ABCD,Cambium Learning Group Inc,NASDAQ,2741.0,TX,,270587428.0
50,1157377,ABCO,Advisory Board Co,NASDAQ,8741.0,DC,DE,521468699.0
51,20639,ABCP,Ambase Corp,OTC,6512.0,CT,DE,952962743.0
52,1490700,ABCR,Varca Ventures Inc,OTC,1000.0,A0,,980658381.0
53,1528234,ABCR,Abc Records Management & Data Storage Inc,OTC,4220.0,F4,,
54,885322,ABCW,Anchor Bancorp Wisconsin Inc,OTC,6036.0,WI,DE,391726871.0
55,812805,ABDV,Atlantis Technology Group,,6153.0,FL,NV,954082020.0
56,841071,ABER,Dominion Diamond Corp,NYSE,1000.0,A6,A6,
57,1297533,ABEW,Airbee Wireless Inc,,7372.0,MD,DE,460500345.0
58,3000,ABF,Airborne Inc,,4513.0,WA,DE,912065027.0
59,772349,ABFI,American Business Financial Services Inc,,6162.0,PA,DE,870418807.0
60,894405,ABFS,Arkansas Best Corp,NASDAQ,4213.0,AR,DE,710673405.0
61,1144980,ABG,Asbury Automotive Group Inc,NYSE,5500.0,GA,DE,10609375.0
62,1036140,ABGTF,Assistglobal Technologies Corp,,7372.0,,,
63,1052837,ABGX,Abgenix Inc,,2836.0,CA,DE,943248826.0
64,1393066,ABH,Resolute Forest Products Inc,NYSE,2621.0,A8,DE,980526415.0
65,1405858,ABHD,Abtech Holdings Inc,OTC,1090.0,AZ,NV,141994102.0
66,1052489,ABHH,American Bank Note Holographics Inc,,7389.0,NY,DE,133317668.0
67,77551,ABI,Applied Biosystems Inc,NYSE ARCA,3826.0,CT,DE,61534213.0
