"org_name","cik","marketcap","marketcap2","commented","Commented","naics","mean_marketcap2","median_marketcap2"
"adc telecommunications inc","0000061478","2.14B",2.14e+09,FALSE,"Did not comment",334210,10209845092.8894,474827000
"american airlines group inc","0000006201","13.224B",1.3224e+10,FALSE,"Did not comment",481111,10209845092.8894,474827000
"ceco environmental corp","0000003197","244.497M",244497000,FALSE,"Did not comment",333413,10209845092.8894,474827000
"asa gold and precious metals","0001230869","407.077M",407077000,FALSE,"Did not comment",523999,10209845092.8894,474827000
"pinnacle west capital corp","0000764622","9.034B",9.034e+09,TRUE,"Commented",2211,17757355265.9915,864658000
"aaron's inc","0000706688","890.328M",890328000,FALSE,"Did not comment",532299,10209845092.8894,474827000
"abbott laboratories","0000001800","217.046B",2.17046e+11,FALSE,"Did not comment",325412,10209845092.8894,474827000
"worlds inc","0000001961","4.061M",4061000,FALSE,"Did not comment",519130,10209845092.8894,474827000
"aceto corp","0000002034","224.921M",224921000,FALSE,"Did not comment",424690,10209845092.8894,474827000
"acmat corp  -cl a","0000002062","25.01M",25010000,FALSE,"Did not comment",524126,10209845092.8894,474827000
"acme united corp","0000002098","140.56M",140560000,FALSE,"Did not comment",332215,10209845092.8894,474827000
"adams diversified equity fd","0000002230","2.256B",2.256e+09,TRUE,"Commented",525990,17757355265.9915,864658000
"adams resources & energy inc","0000002178","111.504M",111504000,FALSE,"Did not comment",424720,10209845092.8894,474827000
"advanced micro devices","0000002488","133.511B",1.33511e+11,FALSE,"Did not comment",334413,10209845092.8894,474827000
"asm international nv","0000351483","18.434B",1.8434e+10,FALSE,"Did not comment",333242,10209845092.8894,474827000
"aerosonic corp","0000109471","97.818M",97818000,FALSE,"Did not comment",334511,10209845092.8894,474827000
"agnico eagle mines ltd","0000002809","14.507B",1.4507e+10,FALSE,"Did not comment",212221,10209845092.8894,474827000
"air products & chemicals inc","0000002969","60.557B",6.0557e+10,FALSE,"Did not comment",325120,10209845092.8894,474827000
"air t inc","0000353184","90.346M",90346000,FALSE,"Did not comment",492110,10209845092.8894,474827000
"alanco technologies inc","0000098618","122,068",122068,FALSE,"Did not comment",221320,10209845092.8894,474827000
"alaska air group inc","0000766421","7.137B",7.137e+09,FALSE,"Did not comment",481111,10209845092.8894,474827000
"atrion corp","0000701288","1.197B",1.197e+09,FALSE,"Did not comment",339112,10209845092.8894,474827000
